Source,Gold_MetricLabel,Extracted_MetricLabel,Dim_Match,Formula_Match,LabelSim,DefSim
ETSI,Attribute Completeness,Attribute Completeness,Yes,Yes,1.0,0.909
ETSI,Record Completeness,Record Completeness,Yes,Yes,1.0,0.933
ETSI,Dataset Completeness,Dataset Completeness,Yes,Close,1.0,0.947
ETSI,Source Consistency Error,Source Consistency Error,No,Yes,1.0,1.0
ETSI,Temporal Stability,Temporal Stability,No,Yes,1.0,1.0
ETSI,Record Redundancy Ratio,Record Redundancy Ratio,No,Yes,1.0,1.0
ETSI,Duplicate Count,Duplicate Count,No,Yes,1.0,1.0
ETSI,Error Rate,Error Rate,No,Yes,1.0,1.0
ETSI,Accuracy Rate,Accuracy Rate,No,Yes,1.0,1.0
ETSI,Mean Absolute Error,Mean Absolute Error,No,Yes,1.0,1.0
ETSI,Mean Squared Error,Mean Squared Error,No,Yes,1.0,1.0
ETSI,Root Mean Squared Error,Root Mean Squared Error,No,Yes,1.0,1.0
ZAVERI,Accessibility of the SPARQL endpoint and the server,accessibility of the SPARQL endpoint and the server,Yes,N/A,1.0,1.0
ZAVERI,"Accessibility of the RDF
dumps",accessibility of the RDF dumps,Yes,N/A,1.0,1.0
ZAVERI,Dereferenceability of the URI,dereferenceability of the URI,Yes,N/A,1.0,0.944
ZAVERI,No misreported content types,no misreported content types,Yes,N/A,1.0,0.75
ZAVERI,Dereferenced forward-links,dereferenced forward-links,Yes,N/A,1.0,1.0
ZAVERI,"Machine-readable indication
of a license",machine-readable indication of a license,Yes,N/A,1.0,1.0
ZAVERI,"Human-readable indication of
a license",human-readable indication of a license,Yes,N/A,1.0,1.0
ZAVERI,Specifying the correct license,specifying the correct license,Yes,N/A,1.0,1.0
ZAVERI,Detection of good quality interlinks,detection of good quality interlinks,Yes,N/A,1.0,0.944
ZAVERI,"Existence of links to external
data providers",existence of links to external data providers,Yes,N/A,1.0,1.0
ZAVERI,Dereferenced back-links,dereferenced back-links,Yes,N/A,1.0,1.0
ZAVERI,Usage of digital signatures,usage of digital signatures,Yes,N/A,1.0,1.0
ZAVERI,Authenticity of the dataset,authenticity of the dataset,Yes,N/A,1.0,1.0
ZAVERI,Usage of slash-URIs,usage of slash-URIs,Yes,N/A,1.0,1.0
ZAVERI,Low latency,low latency,Yes,N/A,1.0,0.889
ZAVERI,High throughput,high throughput,Yes,N/A,1.0,0.833
ZAVERI,Scalability of a data source,scalability of a data source,Yes,N/A,1.0,1.0
ZAVERI,No syntax errors of the documents,no syntax errors of the documents,Yes,N/A,1.0,0.778
ZAVERI,Syntactically accurate values,syntactically accurate values,Yes,N/A,1.0,0.75
ZAVERI,No malformed datatype literals,no malformed datatype literals,Yes,N/A,1.0,1.0
ZAVERI,No outliers,no outliers,Yes,N/A,1.0,1.0
ZAVERI,No inaccurate values,no inaccurate values,Yes,N/A,1.0,1.0
ZAVERI,"No inaccurate annotations, labellings or classifications","no inaccurate annotations, labellings or classifications",Yes,N/A,1.0,0.625
ZAVERI,No misuse of properties,no misuse of properties,Yes,N/A,1.0,0.8
ZAVERI,Detection of valid rules,detection of valid rules,Yes,N/A,1.0,0.714
ZAVERI,"No use of entities as members of
disjoint classes",no use of entities as members of disjoint classes,Yes,N/A,1.0,1.0
ZAVERI,No misplaced classes or properties,no misplaced classes or properties,Yes,N/A,1.0,1.0
ZAVERI,No misuse of owl:DatatypeProperty or owl:ObjectProperty,no misuse of owl:DatatypeProperty or owl:ObjectProperty,Yes,N/A,1.0,0.875
ZAVERI,Members of owl:DeprecatedClass or owl:DeprecatedProperty not used,members of owl:DeprecatedClass or owl:DeprecatedProperty not used,Yes,N/A,1.0,1.0
ZAVERI,"Valid usage of inverse-functional
properties",valid usage of inverse-functional properties,Yes,N/A,1.0,0.9
