"MetricLabel","Definition","Formula","Dimension"
"A1","Accessibility of the SPARQL endpoint and the server — Checking whether the server responds to a SPARQL query.","","Availability"
"A2","Accessibility of the RDF dumps — Checking whether an RDF dump is provided and can be downloaded.","","Availability"
"A3","Dereferenceability of the URI — Checking (i) for dead or broken links i.e. when an HTTP-GET request is sent, the status code 404 Not Found is not returned; (ii) that useful data (particularly RDF) is returned upon lookup of a URI; (iii) for changes in the URI i.e. compliance with the recommended way of implementing redirections using the status code 303 See Other.","","Availability"
"A4","No misreported content types — Detect whether the HTTP response contains the header field stating the appropriate content type of the returned file e.g. application/rdf+xml.","","Availability"
"A5","Dereferenced forward-links — Dereferenceability of all forward links: all available triples where the local URI is mentioned in the subject (i.e. the description of the resource).","","Availability"
"L1","Machine-readable indication of a license — Detection of the indication of a license in the VoID description or in the dataset itself.","","Licensing"
"L2","Human-readable indication of a license — Detection of a license in the documentation of the dataset.","","Licensing"
"L3","Specifying the correct license — Detection of whether the dataset is attributed under the same license as the original.","","Licensing"
"I1","Detection of good quality interlinks — (i) Detection of (a) interlinking degree, (b) clustering coefficient, (c) centrality, (d) open sameAs chains, and (e) description richness through sameAs by using network measures; (ii) via crowdsourcing.","","Interlinking"
"I2","Existence of links to external data providers — Detection of the existence and usage of external URIs (e.g. using owl:sameAs links).","","Interlinking"
"I3","Dereferenced back-links — Detection of all local in-links or back-links: all triples from a dataset that have the resource's URI as the object.","","Interlinking"
"S1","Usage of digital signatures — By signing a document containing an RDF serialization, a SPARQL result set, or signing an RDF graph.","","Security"
"S2","Authenticity of the dataset — Verifying authenticity of the dataset based on a provenance vocabulary such as author and contributors, the publisher of the data, and its sources (if present in the dataset).","","Security"
"P1","Usage of slash-URIs — Checking for usage of slash-URIs where large amounts of data is provided.","","Performance"
"P2","Low latency — (Minimum) delay between submission of a request by the user and reception of the response from the system.","","Performance"
"P3","High throughput — (Maximum) number of answered HTTP-requests per second.","","Performance"
"P4","Scalability of a data source — Detection of whether the time to answer an amount of ten requests divided by ten is not longer than the time it takes to answer one request.","","Performance"
"SV1","No syntax errors of the documents — Detecting syntax errors using (i) validators, (ii) via crowdsourcing.","","Syntactic validity"
"SV2","Syntactically accurate values — (i) Use of explicit definition of the allowed values for a datatype; (ii) syntactic rules (types of characters allowed and/or the pattern of literal values); (iii) detecting whether the data conforms to the specific RDF pattern and that the 'types' are defined for specific resources; (iv) use of different outlier techniques and clustering for detecting wrong values.","","Syntactic validity"
"SV3","No malformed datatype literals — Detection of ill-typed literals which do not abide by the lexical syntax for their respective datatype; can occur if a value is (i) malformed, or (ii) a member of an incompatible datatype.","","Syntactic validity"
"SA1","No outliers — (i) Using distance-based, deviation-based and distribution-based methods; (ii) using the statistical distributions of a certain type to assess the statement's correctness.","","Semantic accuracy"
"SA2","No inaccurate values — (i) Using functional dependencies between the values of two or more different properties; (ii) comparison between two literal values of a resource; (iii) via crowdsourcing.","","Semantic accuracy"
"SA3","No inaccurate annotations, labellings or classifications — Detected using a ratio formula involving inaccurate instances and a balanced distance metric.","1 - (inaccurate instances / total no. of instances) * (balanced distance metric / total no. of instances)","Semantic accuracy"
"SA4","No misuse of properties — Using profiling statistics which support the detection of discordant values or misused properties and facilitate finding valid formats for specific properties.","","Semantic accuracy"
"SA5","Detection of valid rules — Ratio of the number of semantically valid rules to the number of nontrivial rules.","no. of semantically valid rules / no. of nontrivial rules","Semantic accuracy"
"CS1","No use of entities as members of disjoint classes — Ratio of entities described as members of disjoint classes to total entities described in the dataset.","no. of entities described as members of disjoint classes / total no. of entities described in the dataset","Consistency"
"CS2","No misplaced classes or properties — Using entailment rules that indicate the position of a term in a triple.","","Consistency"
"CS3","No misuse of owl:DatatypeProperty or owl:ObjectProperty — Detection of misuse of owl:DatatypeProperty or owl:ObjectProperty through the ontology maintainer.","","Consistency"
"CS4","Members of owl:DeprecatedClass or owl:DeprecatedProperty not used — Detection of use of members of owl:DeprecatedClass or owl:DeprecatedProperty through the ontology maintainer or by specifying manual mappings from deprecated terms to compatible terms.","","Consistency"
"CS5","Valid usage of inverse-functional properties — (i) By checking the uniqueness and validity of the inverse-functional values; (ii) by defining a SPARQL query as a constraint.","","Consistency"
"CS6","Absence of ontology hijacking — Detection of the re-definition by third parties of external classes/properties such that reasoning over data using those external terms is not affected.","","Consistency"
"CS7","No negative dependencies/correlation among properties — Using association rules.","","Consistency"
"CS8","No inconsistencies in spatial data — Through semantic and geometric constraints.","","Consistency"
"CS9","Correct domain and range definition — The attribution of a resource's property (with a certain value) is only valid if the resource (domain), value (range) or literal value (rdfs ranged) is of a certain type - detected by use of SPARQL queries as a constraint.","","Consistency"
"CS10","No inconsistent values — Detection by the generation of a particular set of schema axioms for all properties in a dataset and the manual verification of these axioms.","","Consistency"
"CN1","High intensional conciseness — Ratio of unique properties/classes of a dataset to total properties/classes in a target schema.","no. of unique properties/classes of a dataset / total no. of properties/classes in a target schema","Conciseness"
"CN2","High extensional conciseness — (i) Ratio of unique objects of a dataset to total number of object representations; (ii) 1 minus the ratio of instances violating the uniqueness rule to total relevant instances.","(i) no. of unique objects of a dataset / total no. of objects representations in the dataset; (ii) 1 - (total no. of instances that violate the uniqueness rule / total no. of relevant instances)","Conciseness"
"CN3","Usage of unambiguous annotations/labels — One minus the ratio of ambiguous instances to total instances in the semantic metadata set.","1 - (no. of ambiguous instances / no. of instances contained in the semantic metadata set)","Conciseness"
"CM1","Schema completeness — Ratio of classes and properties represented to total classes and properties.","no. of classes and properties represented / total no. of classes and properties","Completeness"
"CM2","Property completeness — (i) Ratio of values represented for a specific property to total values for that property; (ii) exploiting statistical distributions of properties and types to characterize the property and then detect completeness.","no. of values represented for a specific property / total no. of values for a specific property","Completeness"
"CM3","Population completeness — Ratio of real-world objects that are represented to total real-world objects.","no. of real-world objects represented / total no. of real-world objects","Completeness"
"CM4","Interlinking completeness — (i) Ratio of instances in the dataset that are interlinked to total instances; (ii) calculating the percentage of mappable types in a dataset that have not yet been considered in the linksets when assuming an alignment among types.","no. of instances in the dataset that are interlinked / total no. of instances in a dataset","Completeness"
"R1","Relevant terms within meta-information attributes — Obtaining relevant data by (i) ranking (a numerical value similar to PageRank) which determines the centrality of RDF documents and statements; (ii) via crowdsourcing.","","Relevancy"
"R2","Coverage — Measuring the coverage (i.e. number of entities described in a dataset) and level of detail (i.e. number of properties) in a dataset to ensure that the data retrieved is appropriate for the task at hand.","","Relevancy"
"T1","Trustworthiness of statements — Computing statement trust values based on: (i) provenance information which can be either unknown or a value in [-1,1] (1: absolute belief, -1: absolute disbelief, 0: lack of belief/disbelief); (ii) opinion-based methods using trust annotations from several individuals; (iii) provenance information and trust annotations in Semantic Web-based social networks; (iv) annotating triples with provenance data and usage of provenance history to evaluate trustworthiness of facts.","Trust value in [-1, 1]","Trustworthiness"
"T2","Trustworthiness through reasoning — Using annotations for data to encode two facets of information: (i) blacklists (indicates that the referent data is known to be harmful); (ii) authority (a boolean value which uses the Linked Data principles to conservatively determine whether or not information can be trusted).","","Trustworthiness"
"T3","Trustworthiness of statements, datasets and rules — Using trust ontologies that assign trust values transferable from known to unknown data via: (i) content-based methods (from content or rules); (ii) metadata-based methods (based on reputation assignments, user ratings, and provenance, rather than the content itself).","","Trustworthiness"
"T4","Trustworthiness of a resource — Computing trust values between two entities through a path by using: (i) a propagation algorithm based on statistical techniques; (ii) in case of several paths, trust values from all paths aggregated based on a weighting mechanism.","","Trustworthiness"
"T5","Trustworthiness of the information provider — Computing trustworthiness of the information provider by: (i) construction of decision networks informed by provenance graphs; (ii) checking whether the provider/contributor is contained in a list of trusted providers; (iii) indicating the level of trust for the publisher on a scale of 1-9.","Scale 1-9 (for option iii)","Trustworthiness"
"T6","Trustworthiness of information provided (content trust) — Checking content trust based on associations (e.g. anything having a relationship to a resource such as author of the dataset) that transfer trust from content to resources.","","Trustworthiness"
"T7","Reputation of the dataset — Assignment of explicit trust ratings to the dataset by humans or analyzing external links or page ranks.","","Trustworthiness"
"U1","Human-readable labelling of classes, properties and entities as well as presence of metadata — Detection of human-readable labelling of classes, properties and entities as well as indication of metadata (e.g. name, description, website) of a dataset.","","Understandability"
"U2","Indication of one or more exemplary URIs — Detect whether the pattern of the URIs is provided.","","Understandability"
"U3","Indication of a regular expression that matches the URIs of a dataset — Detect whether a regular expression that matches the URIs is present.","","Understandability"
"U4","Indication of an exemplary SPARQL query — Detect whether examples of SPARQL queries are provided.","","Understandability"
"U5","Indication of the vocabularies used in the dataset — Checking whether a list of vocabularies used in the dataset is provided.","","Understandability"
"U6","Provision of message boards and mailing lists — Checking the effectiveness and the efficiency of the usage of the mailing list and/or the message boards.","","Understandability"
"TI1","Freshness of datasets based on currency and volatility — Gives a value in a continuous scale from 0 to 1, where 1 implies data is timely and 0 means completely outdated. Volatility is the length of time the data remains valid; currency is the age of the data when delivered to the user.","max(0, 1 - (currency / volatility))","Timeliness"
"TI2","Freshness of datasets based on their data source — Detecting freshness of datasets based on their data source by measuring the distance between last modified time of the data source and last modified time of the dataset.","distance(last_modified_data_source, last_modified_dataset)","Timeliness"
"RC1","Keeping URIs short — Detection of long URIs or those that contain query parameters.","","Representational-conciseness"
"RC2","No use of prolix RDF features — Detection of RDF primitives i.e. RDF reification, RDF containers and RDF collections.","","Representational-conciseness"
"IO1","Re-use of existing terms — Detection of whether existing terms from all relevant vocabularies for that particular domain have been reused.","","Interoperability"
"IO2","Re-use of existing vocabularies — Usage of relevant vocabularies for that particular domain.","","Interoperability"
"IN1","Use of self-descriptive formats — Identifying objects and terms used to define these objects with globally unique identifiers.","","Interpretability"
"IN2","Detecting the interpretability of data — Detecting the use of appropriate language, symbols, units, datatypes and clear definitions.","","Interpretability"
"IN3","Invalid usage of undefined classes and properties — Detection of invalid usage of undefined classes and properties (i.e. those without any formal definition).","","Interpretability"
"IN4","No misinterpretation of missing values — Detecting the use of blank nodes.","","Interpretability"
"V1","Provision of the data in different serialization formats — Checking whether data is available in different serialization formats.","","Versatility"
"V2","Provision of the data in various languages — Checking whether data is available in different languages.","","Versatility"
