MetricID,MetricLabel,Definition,Formula,Source,Dimension,MetricType
attribute-completeness,Attribute Completeness,The completeness of a specific attribute A_j is given by the ratio of present values for that attribute to the total number of records.,C_Aj = (∑(i=1to N) I_ij)/N,ETSI,completeness,quantitative
record-completeness,Record Completeness,The completeness of a specific record R_i (considering a set of K required attributes within that record) is given by the ratio of present values for the required attributes in that record to the total number of required attributes.,C_R_i = (∑(j∈Required_Attributes) I_ij)/K,ETSI,completeness,quantitative
dataset-completeness,Dataset Completeness,"The overall completeness of the dataset, considering all N records and M attributes (or a subset of M_req required attributes), can be defined as the average attribute completeness or the total proportion of non-missing values: Where M_req is the number of attributes deemed ""required"" for the dataset's intended use.",C_D = (∑(j=1to M_req) ∑(i=1to N) I_ij)/(N × M_req),ETSI,completeness,quantitative
source-consistency-error,Source Consistency Error,For a single source over N observations can be measured as the Mean Absolute Error (MAE).,SCE_MAE = 1/N ∑(i=1to N) (X_i - E_i),ETSI,consistency,quantitative
temporal-stability,Temporal Stability,"Can be measured for a source by calculating the coefficient of variation (CV) for a specific attribute over a defined time window, indicating how much the data fluctuates relative to its average value: Where: σχ is the standard deviation of the attribute values over the time period. μχ is the mean of the attribute values over the time period. A lower CV indicates higher temporal stability.",TS_CV = σχ/μχ ×100,ETSI,consistency,quantitative
record-redundancy-ratio,Record Redundancy Ratio,Is the proportion of the dataset that consists of duplicate records.,RRR= (N- N_unique)/N × 100,ETSI,conciseness,quantitative
duplicate-count,Duplicate Count,Is the absolute number of duplicate records.,DC=N- N_unique,ETSI,conciseness,quantitative
error-rate,Error Rate,The proportion of values that are incorrect.,Error Rate= (N- N_correct)/N × 100,ETSI,semanticAccuracy,quantitative
accuracy-rate,Accuracy Rate,The proportion of values that are correct.,Accuracy Rate= N_correct/N × 100,ETSI,semanticAccuracy,quantitative
mean-absolute-error,Mean Absolute Error,The average magnitude of the errors.,"MAE= 1/N ∑(i=1to N) | V_data,i - V_true,i |",ETSI,semanticAccuracy,quantitative
mean-squared-error,Mean Squared Error,The average of the squares of the errors (more sensitive to large errors).,"MSE= 1/N ∑(i-1to N) ( V_data,i - V_true,i )^2",ETSI,semanticAccuracy,quantitative
root-mean-squared-error,Root Mean Squared Error,"The square root of the MSE, in the same units as the original data.",RMSE= sqrt(MSE),ETSI,semanticAccuracy,quantitative
