MetricID,MetricLabel,Definition,Formula,Source,Dimension,MetricType
an-example,An example,Be memory consumption per open tab in a single test.,NULL,Radulovic,unknown,quantitative
goal,Goal,Is to automate the creation of quality reports based on the data quality requirements deﬁned using the DQM ontology with a data quality score based on each requirement.,NULL,Radulovic,unknown,quantitative
a-comprehensive-quality-model,A comprehensive quality model,"Was the state of the art in Linked Data quality assessment and speciﬁcation, and in particular the work done by Zaveri et al.",NULL,Radulovic,unknown,quantitative
model-aspect,Model aspect,Refers to different designs that are taken into account when modelling the domain data and metadata as RDF data.,NULL,Radulovic,unknown,quantitative
interlinks-aspect,Interlinks aspect,Refers to exposing the RDF data as Linked Data and to linking the data to other relevant data so that consumers can discover more related data with the follow-your-nose approach.,NULL,Radulovic,unknown,quantitative
serialization-aspect,Serialization aspect,"Refers to the representation of RDF data in some RDF serialization format such as Turtle, RDF/XML, JSON-LD, N3, N triples, N_quads, Fig.",NULL,Radulovic,unknown,quantitative
a-base-measure,A base measure,"Measured, it can be aggregated to come up with derived measures that are associated with a higher level such as triples, RDF graphs or datasets.",NULL,Radulovic,unknown,quantitative
an-iri,An IRI,"Is short with respect to some predeﬁned threshold IRI.length < threshold (1) Formulas for Number of dereferenceable IRIs (2) and Number of dereferenceable subjects (3) calculate the total number of dereferenceable IRIs and subjects in a dataset, respectively.",NULL,Radulovic,unknown,quantitative
higher-values,Higher values,"Are more desirable (e.g., for precision or number of dereferenceable URIs, it is clear that a higher value is more desirable).",NULL,Radulovic,semanticAccuracy,quantitative
a-measure,A measure,"Is dependent on the system (isSystemDependent), the period of time during which the result for the measure is valid (TemporalValidity), the technique used in the evaluation for assessing a measure (AssessmentTechnique), whether an assessment technique is subjective or objective (isSubjective), the expected duration of the assessment (ExpectedDuration), and whether an evaluation is done automatically, semi-automatically or manually (AutomationLevel).",NULL,Radulovic,unknown,qualitative
provided-rdf-representation,Provided RDF representation,"Be signiﬁcant in the production, interchange, and consumption of quality evaluation data.",NULL,Radulovic,unknown,quantitative
first-step,FIrst step,Is to identify how the quality of a Linked Data resource can be measured and what metrics can be used to measure quality.,NULL,Radulovic,unknown,quantitative
second-step,Second step,Is to decide which metrics to be used in the quality assessment.,NULL,Radulovic,unknown,quantitative
average-predicate-dereferenceability,Average predicate dereferenceability,Are commonly in the 90 to 100 range while the average subject dereferenceability varies in a wider range.,NULL,Radulovic,unknown,quantitative
main-reason,Main reason,Is the fact that the DBpedia server fails when many re14http://nandana.github.io/ld-sniffer/sparql.html 15https://datahub.io/dataset/ldqm-dbpedia-2016 quests are sent and returns a ‘503 Service Unavailable’ error.,NULL,Radulovic,unknown,quantitative
linked-data-quality-model,Linked Data Quality Model,Is that it provides reference for the measures to be evaluated and a large amount of provenance information for understanding how the evaluation was performed.,NULL,Radulovic,semanticAccuracy,quantitative
coverage,Coverage,"Is in direct relation with the coverage of the survey by Zaveri et al., it can be assumed that the Linked Data quality model is as comprehensive and complete as the mentioned survey.",NULL,Radulovic,unknown,qualitative
tool,Tool,"Is an initial effort in exploiting the Linked Data quality model, it can be assumed that this quality model has potential to be successfully applied in practice as a reference for Linked Data evaluation since parts of it are already used by existing tools and ontologies to represent their evaluation results.",NULL,Radulovic,unknown,quantitative
such-quality-model,Such quality model,"Is a step towards a consistent terminology for Linked Data quality, and it describes a comprehensive set of quality characteristics and measures speciﬁc to Linked Data, together with their definitions and formulas.",NULL,Radulovic,unknown,quantitative
