MetricID,MetricLabel,Definition,Formula,Source,Dimension,MetricType
accessibility-of-the-sparql-endpoint-and-the-server,accessibility of the SPARQL endpoint and the server,Checking whether the server responds to a SPARQL query.,NULL,Zaveri,availability,quantitative
accessibility-of-the-rdf-dumps,accessibility of the RDF dumps,Checking whether an RDF dump is provided and can be downloaded.,NULL,Zaveri,availability,quantitative
dereferenceability-of-the-uri,dereferenceability of the URI,"Checking (i) for dead or broken links i.e. when an HTTP-GET request is sent, the status code 404 Not Found is not be returned (ii) that useful data (particularly RDF) is returned upon lookup of a URI, (iii) for changes in the URI i.e. the compliance with the recommended way of implementing redirections using the status code 303 See Other.",NULL,Zaveri,availability,quantitative
no-misreported-content-types,no misreported content types,Detect whether the HTTP response contains the header ﬁeld stating the appropriate content type of the returned ﬁle e.g. application/rdf+xml.,NULL,Zaveri,availability,quantitative
dereferenced-forward-links,dereferenced forward-links,Dereferenceability of all forward links: all available triples where the local URI is mentioned in the subject (i.e. the description of the resource).,NULL,Zaveri,availability,quantitative
machine-readable-indication-of-a-license,machine-readable indication of a license,Detection of the indication of a license in the VoID description or in the dataset itself.,NULL,Zaveri,licensing,quantitative
human-readable-indication-of-a-license,human-readable indication of a license,Detection of a license in the documentation of the dataset.,NULL,Zaveri,licensing,quantitative
specifying-the-correct-license,specifying the correct license,Detection of whether the dataset is attributed under the same license as the original.,NULL,Zaveri,licensing,quantitative
detection-of-good-quality-interlinks,detection of good quality interlinks,"Detection of (a) interlinking degree, (b) clustering coefﬁcient, (c) centrality, (d) open sameAs chains and (e) description richness through sameAs by using network measures, (ii) via crowdsourcing.",NULL,Zaveri,interlinking,quantitative
existence-of-links-to-external-data-providers,existence of links to external data providers,Detection of the existence and usage of external URIs (e.g. using owl:sameAs links).,NULL,Zaveri,interlinking,quantitative
dereferenced-back-links,dereferenced back-links,Detection of all local in-links or back-links: all triples from a dataset that have the resource’s URI as the object.,NULL,Zaveri,interlinking,quantitative
usage-of-digital-signatures,usage of digital signatures,"By signing a document containing an RDF serialization, a SPARQL result set or signing an RDF graph.",NULL,Zaveri,security,quantitative
authenticity-of-the-dataset,authenticity of the dataset,"Verifying authenticity of the dataset based on a provenance vocabulary such as author and his contributors, the publisher of the data and its sources (if present in the dataset).",NULL,Zaveri,security,quantitative
usage-of-slash-uris,usage of slash-URIs,Checking for usage of slash-URIs where large amounts of data is provided.,NULL,Zaveri,performance,quantitative
low-latency,low latency,Delay between submission of a request by the user and reception of the response from the system.,NULL,Zaveri,performance,quantitative
high-throughput,high throughput,No. of answered HTTP-requests per second.,NULL,Zaveri,performance,quantitative
scalability-of-a-data-source,scalability of a data source,"Detection of whether the time to answer an amount of ten requests divided by ten is not longer than the time it takes to answer one request QN resent this information as RDF. This allows a user to query the integrated dataset for a ﬂight between any start and end destination for any time period. We will use this scenario throughout as an example to explain each quality dimension through a quality issue. 4.1. Accessibility dimensions The dimensions belonging to this category involve aspects related to the access, authenticity and retrieval of data to obtain either the entire or some portion of the data (or from another linked dataset) for a particular use case. There are ﬁve dimensions that are part of this group, which are availability, licensing, interlinking, security and performance. Table 2 displays metrics for these dimensions and provides references to the original literature. 4.1.1. Availability Flemming referred to availability as the proper functioning of all access methods. The other articles provide metrics for this dimension. Deﬁnition 1 (Availability). Availability of a dataset is the extent to which data (or some portion of it) is present, obtainable and ready for use.",NULL,Zaveri,performance,quantitative
no-syntax-errors-of-the-documents,no syntax errors of the documents,"Detecting syntax errors using (i) validators, (ii) via crowdsourcing.",NULL,Zaveri,syntacticValidity,quantitative
syntactically-accurate-values,syntactically accurate values,"By (i) use of explicit deﬁnition of the allowed values for a datatype, (ii) syntactic rules, (iii) detecting whether the data conforms to the speciﬁc RDF pattern and that the “types” are deﬁned for speciﬁc resources, (iv) use of different outlier techniques and clustering for detecting wrong values.",NULL,Zaveri,syntacticValidity,quantitative
no-malformed-datatype-literals,no malformed datatype literals,"Detection of ill-typed literals, which do not abide by the lexical syntax for their respective datatype that can occur if a value is (i) malformed, (ii) is a member of an incompatible datatype.",NULL,Zaveri,syntacticValidity,quantitative
no-outliers,no outliers,"By (i) using distance-based, deviation-based and distribution-based methods, (ii) using the statistical distributions of a certain type to assess the statement’s correctness.",NULL,Zaveri,semanticAccuracy,quantitative
no-inaccurate-values,no inaccurate values,"By (i) using functional dependencies between the values of two or more different properties, (ii) comparison between two literal values of a resource, (iii) via crowdsourcing.",NULL,Zaveri,semanticAccuracy,quantitative
no-inaccurate-annotations-labellings-or-classifications,"no inaccurate annotations, labellings or classifications",1 −inaccurate instances total no. of instances ∗balanced distance metric total no. of instances.,NULL,Zaveri,semanticAccuracy,quantitative
no-misuse-of-properties,no misuse of properties,"By using proﬁling statistics, which support the detection of discordant values or misused properties and facilitate to ﬁnd valid formats for speciﬁc properties.",NULL,Zaveri,semanticAccuracy,quantitative
detection-of-valid-rules,detection of valid rules,Ratio of the number of semantically valid rules to the number of nontrivial rules.,NULL,Zaveri,semanticAccuracy,quantitative
no-use-of-entities-as-members-of-disjoint-classes,no use of entities as members of disjoint classes,No. of entities described as members of disjoint classes total no. of entities described in the dataset.,NULL,Zaveri,consistency,quantitative
no-misplaced-classes-or-properties,no misplaced classes or properties,Using entailment rules that indicate the position of a term in a triple.,NULL,Zaveri,consistency,quantitative
no-misuse-of-owl-datatypeproperty-or-owl-objectproperty,no misuse of owl:DatatypeProperty or owl:ObjectProperty,Detection of misuse of owl:DatatypeProperty or owl: ObjectProperty through the ontology maintainer.,NULL,Zaveri,consistency,quantitative
members-of-owl-deprecatedclass-or-owl-deprecatedproperty-not-used,members of owl:DeprecatedClass or owl:DeprecatedProperty not used,Detection of use of members of owl:DeprecatedClass or owl: DeprecatedProperty through the ontology maintainer or by specifying manual mappings from deprecated terms to compatible terms.,NULL,Zaveri,consistency,quantitative
valid-usage-of-inverse-functional-properties,valid usage of inverse-functional properties,"By checking the uniqueness and validity of the inverse-functional values, (ii) by deﬁning a SPARQL query as a constraint.",NULL,Zaveri,consistency,quantitative
absence-of-ontology-hijacking,absence of ontology hijacking,Detection of the re-deﬁnition by third parties of external classes/ properties such that reasoning over data using those external terms is not affected.,NULL,Zaveri,consistency,quantitative
no-negative-dependencies-correlation-among-properties,no negative dependencies/correlation among properties,Using association rules.,NULL,Zaveri,consistency,quantitative
no-inconsistencies-in-spatial-data,no inconsistencies in spatial data,Through semantic and geometric constraints.,NULL,Zaveri,consistency,quantitative
correct-domain-and-range,correct domain and range,"Deﬁnition the attribution of a resource’s property (with a certain value) is only valid if the resource (domain), value (range) or literal value (rdfs ranged) is of a certain type – detected by use of SPARQL queries as a constraint.",NULL,Zaveri,consistency,quantitative
no-inconsistent-values,no inconsistent values,Detection by the generation of a particular set of schema axioms for all properties in a dataset and the manual veriﬁcation of these axioms.,NULL,Zaveri,consistency,quantitative
high-intensional-conciseness,high intensional conciseness,No. of unique properties/classes of a dataset total no. of properties/classes in a target schema.,NULL,Zaveri,conciseness,quantitative
